start_hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,27298,24979,28675,32959,39828,61776,56292
1,14711,12640,14461,16683,22606,44480,42173
2,8890,7690,8644,9732,13407,32377,29781
3,5858,5024,5509,5938,8381,20439,20015
4,6961,6415,6612,6587,8243,13480,13571
5,19549,23397,23036,20987,20167,10392,9495
6,56467,72555,70989,63963,57897,22533,18644
7,110392,144469,142333,127084,111458,42342,33253
8,162974,210061,213716,195081,163169,71929,56596
9,128451,150859,155269,152314,138189,113404,89576
10,104552,109374,114115,117401,121371,154172,129186
11,111749,114221,117700,121243,134113,186425,161647
12,125613,130697,136760,137307,155484,205455,184473
13,134671,139344,145580,142456,170261,211900,201191
14,148745,152950,161924,157283,189536,216423,207354
15,166094,173021,178397,179297,203069,215046,211316
16,191325,206503,214026,207357,224144,205385,209778
17,249590,284946,292416,277185,244485,197297,201666
18,245906,278692,293404,273492,229806,183833,186340
19,187149,202072,218531,204793,185683,161750,152971
20,132678,138312,148602,144919,131168,119935,112982
21,93784,99448,108085,106622,95370,90373,82633
22,72397,78724,88050,88213,85307,78510,65761
23,45887,51882,58555,64822,75366,69874,44548
