date,tavg,prcp,ride_count
2022-01-01,11.6,19.3,20428
2022-01-02,11.4,1.0,43009
2022-01-03,1.4,0.0,33189
2022-01-04,-2.7,0.0,36842
2022-01-05,3.2,6.1,34230
2022-01-06,4.9,0.0,44787
2022-01-07,0.7,8.4,17401
2022-01-08,-2.5,0.0,24455
2022-01-09,1.4,2.8,21479
2022-01-10,1.6,0.0,34727
2022-01-11,-5.4,0.0,26824
2022-01-12,-1.9,0.0,40568
2022-01-13,4.0,0.0,50572
2022-01-14,4.8,0.0,45714
2022-01-15,-6.7,0.0,22839
2022-01-16,-8.0,9.1,20930
2022-01-17,3.9,26.9,29084
2022-01-18,1.8,0.0,42935
2022-01-19,3.2,0.0,54011
2022-01-20,5.1,6.4,33928
2022-01-21,-6.0,0.0,33598
2022-01-22,-5.9,0.0,31969
2022-01-23,-0.7,0.3,32967
2022-01-24,-0.2,0.0,41488
2022-01-25,3.6,0.0,50692
2022-01-26,-2.3,0.0,42005
2022-01-27,-4.2,0.0,43830
2022-01-28,0.1,2.8,34871
2022-01-29,-4.8,12.4,2848
2022-01-30,-7.1,0.0,9486
2022-01-31,-3.4,0.0,22349
2022-02-01,-1.7,0.0,29338
2022-02-02,2.3,0.0,41947
2022-02-03,6.4,10.7,26568
2022-02-04,5.8,18.8,20309
2022-02-05,-2.8,0.0,29638
2022-02-06,-4.8,0.0,28887
2022-02-07,0.5,3.8,30717
2022-02-08,4.1,2.0,51893
2022-02-09,2.8,0.0,56007
2022-02-10,6.3,0.0,61937
2022-02-11,8.6,0.0,64614
2022-02-12,11.8,0.0,68575
2022-02-13,2.8,4.8,20384
2022-02-14,-4.3,0.0,34198
2022-02-15,-4.7,0.0,40550
2022-02-16,1.6,0.0,53683
2022-02-17,11.6,7.6,67432
2022-02-18,9.9,6.4,47038
2022-02-19,0.1,0.0,32450
2022-02-20,-2.6,0.0,31051
2022-02-21,4.1,0.0,52366
2022-02-22,5.6,5.8,36459
2022-02-23,14.4,0.0,66325
2022-02-24,1.1,0.0,44725
2022-02-25,0.8,20.8,30412
2022-02-26,-1.1,0.0,41415
2022-02-27,2.4,0.0,42805
2022-02-28,0.8,0.0,45636
2022-03-01,2.6,0.0,56019
2022-03-02,7.7,0.0,67108
2022-03-03,5.6,0.8,55408
2022-03-04,-1.9,0.0,49704
2022-03-05,3.1,0.0,51358
2022-03-06,9.6,1.3,54531
2022-03-07,18.2,1.3,67882
2022-03-08,8.7,0.0,62178
2022-03-09,3.2,14.7,28088
2022-03-10,4.0,0.0,66071
2022-03-11,7.2,0.0,69316
2022-03-12,5.1,11.9,19628
2022-03-13,-2.3,0.0,30833
2022-03-14,5.3,0.0,63206
2022-03-15,11.6,0.0,78946
2022-03-16,13.6,0.0,81449
2022-03-17,8.2,2.8,50004
2022-03-18,13.9,0.0,92837
2022-03-19,13.1,1.8,77861
2022-03-20,14.3,0.0,65417
2022-03-21,10.4,0.0,73209
2022-03-22,10.7,0.0,75235
2022-03-23,7.2,2.8,60865
2022-03-24,5.7,25.9,45793
2022-03-25,9.6,0.8,74873
2022-03-26,10.4,1.0,62151
2022-03-27,5.9,0.0,45625
2022-03-28,-1.5,0.0,38135
2022-03-29,-1.2,0.0,48426
2022-03-30,2.6,0.0,61254
2022-03-31,9.9,1.3,72625
2022-04-01,13.1,6.6,68479
2022-04-02,7.2,0.0,73254
2022-04-03,7.0,2.3,37164
2022-04-04,7.6,0.0,68902
2022-04-05,9.7,1.5,72629
2022-04-06,8.6,9.1,48443
2022-04-07,9.1,24.6,35322
2022-04-08,12.8,1.0,88195
2022-04-09,11.4,0.5,67329
2022-04-10,8.6,0.0,57144
2022-04-11,8.8,0.0,75355
2022-04-12,13.4,1.0,93575
2022-04-13,15.4,0.0,98764
2022-04-14,16.3,2.8,90635
2022-04-15,15.7,0.0,99636
2022-04-16,15.7,3.6,82188
2022-04-17,8.3,0.0,54110
2022-04-18,7.9,23.4,55811
