start_station_name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1 Ave & E 68 St,71015.0,83650.0,84973.0,81298.0,75873.0,42658.0,39655.0
11 Ave & W 41 St,53543.0,57309.0,61446.0,61852.0,62650.0,59521.0,55664.0
12 Ave & W 40 St,51324.0,55797.0,57995.0,52899.0,62398.0,80948.0,74809.0
6 Ave & W 33 St,64561.0,80283.0,78631.0,75971.0,70077.0,63700.0,58527.0
6 Ave & W 34 St,57316.0,63994.0,68845.0,66003.0,63462.0,56854.0,50218.0
8 Ave & W 33 St,49042.0,60907.0,64449.0,63119.0,62524.0,46277.0,38451.0
Broadway & E 14 St,59864.0,66311.0,70581.0,64715.0,72590.0,71274.0,61474.0
Broadway & E 21 St,61523.0,72296.0,75691.0,70595.0,68530.0,53725.0,48594.0
Broadway & W 25 St,61236.0,69468.0,74060.0,69769.0,63371.0,58016.0,53585.0
Broadway & W 58 St,67816.0,69041.0,75229.0,72751.0,75747.0,74613.0,75159.0
Central Park S & 6 Ave,55293.0,56497.0,55762.0,53781.0,56945.0,76223.0,72065.0
Cleveland Pl & Spring St,53480.0,61327.0,63224.0,64463.0,62825.0,68222.0,55223.0
E 33 St & 1 Ave,59479.0,67788.0,69244.0,65786.0,61831.0,45094.0,41034.0
E 40 St & Park Ave,55601.0,70007.0,71358.0,66934.0,54117.0,35847.0,26278.0
Lafayette St & E 8 St,52815.0,60858.0,64596.0,62076.0,56140.0,56014.0,44604.0
University Pl & E 14 St,54971.0,65688.0,71246.0,66899.0,64029.0,53081.0,46109.0
W 21 St & 6 Ave,81774.0,86681.0,89439.0,83300.0,79674.0,73465.0,73458.0
W 31 St & 7 Ave,58142.0,71708.0,72478.0,70812.0,63497.0,41930.0,40992.0
West St & Chambers St,77952.0,90307.0,91007.0,83769.0,84777.0,82663.0,75754.0
West St & Liberty St,52990.0,60711.0,62776.0,57687.0,58821.0,63707.0,57925.0
